url,was_in_live_sitemap,which_live_sitemap
"https://www.liquorlicenseagents.com/cities/coronado-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/costa-mesa-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/covina-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/cudahy-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/culver-city/culver-city-liquor-licenses-for-restaurants-bars-and-retailers/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/cypress-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/daly-city/daly-city-liquor-licenses-for-restaurants-bars-and-retailers/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/dana-point-liquor-licenses-for-restaurants-bars-and-retailers-1/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/dana-point-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/del-mar-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/diamond-bar-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/downey-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/duarte-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/el-cajon-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/el-monte-type-20-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/el-monte-type-21-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/el-monte-type-41-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/el-monte-type-47-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/el-monte-type-48-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/el-monte-type-57-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/el-monte-type-61-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/el-monte/el-monte-liquor-licenses-for-restaurants-bars-and-retailers/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/el-segundo","yes","/sitemaps/sitemap-cities-categories.xml"
"https://www.liquorlicenseagents.com/cities/el-segundo-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/elk-grove-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/encinitas-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/encinitas-type-20-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/encinitas-type-21-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/encinitas-type-41-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/encinitas-type-47-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/encinitas-type-48-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/encinitas-type-57-license/","NO (orphan, newly added)",""
